"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","dstar"
"l0","   0.127","   0.075","  0.147","  0.065","   0.017","   0.450","1.000","1057.731"," 926.283","0.757"
"zeta","   1.919","   1.867","  0.307","  0.307","   1.498","   2.487","1.002","1068.743","1207.008","0.680"
"gamma","   9.437","   8.639","  6.269","  6.640","   0.996","  20.823","0.999","1113.618","1163.142","0.503"
"a","  12.425","  11.666","  6.404","  6.577","   3.271","  24.028","1.001","1102.646","1004.429","0.580"
"k_lm","   2.527","   1.659","  2.626","  1.961","   0.051","   8.067","1.000","1178.746","1155.903","0.410"
"alpha_m","   2.229","   2.225","  0.145","  0.141","   2.014","   2.482","0.999","1178.563","1005.906","0.957"
"k_m","   2.695","   2.198","  1.820","  1.350","   0.836","   6.183","0.999","1175.297","1159.076","0.723"
"k_mh","   2.088","   0.858","  3.142","  0.907","   0.136","   8.902","1.002","1158.714","1131.549","0.650"
"alpha_h","   1.487","   1.497","  0.224","  0.210","   1.100","   1.833","1.002","1141.075","1030.601","0.950"
"k_h","   8.335","   7.130","  5.908","  5.797","   0.940","  19.813","0.999","1098.402","1158.627","0.443"
"eta","   1.149","   1.138","  0.154","  0.148","   0.909","   1.418","1.000","1352.660"," 939.948","0.763"
"x_star","   0.577","   0.614","  0.300","  0.391","   0.071","   0.973","0.999","1279.675","1161.261","0.400"
"c*"," 312.931"," 310.506"," 39.997"," 39.403"," 249.939"," 383.572","1.000","1259.083","1098.948","0.407"
"c_0","3207.361","3189.343","379.452","395.336","2558.204","3850.096","1.000","1272.461","1038.560","0.247"
"c","   0.224","   0.227","  0.114","  0.142","   0.038","   0.392","1.004"," 937.255"," 887.690","0.440"
"k","   0.934","   0.935","  0.016","  0.016","   0.909","   0.961","1.001","1276.563","1088.191","0.920"
"b","   2.923","   2.808","  0.531","  0.501","   2.252","   3.951","1.000","1173.012","1159.496","0.320"
"q","   0.004","   0.003","  0.002","  0.002","   0.001","   0.008","1.001","1241.904","1139.090","0.520"
"phi_d","   0.985","   0.989","  0.015","  0.011","   0.953","   0.999","1.000","1287.874","1019.030","0.930"
"chp_sigma","   0.481","   0.478","  0.055","  0.055","   0.396","   0.577","0.999","1226.661"," 992.583","0.980"
"sigma_m","   2.457","   2.448","  0.155","  0.146","   2.220","   2.734","1.001","1173.494","1031.946","0.908"
"sigma_h","   4.203","   4.185","  0.338","  0.350","   3.663","   4.766","1.000","1130.579","1123.934","0.824"
