"variable",".pareto_k","l0","zeta","gamma","a","alpha_m","k_m","k_lm","k_mh","alpha_h","k_h","eta","x_star","b1","b2","b3","b4","chp_sigma"
"original",-Inf,0.179144724735904,1.89710295419672,9.27908311898377,11.3217882726686,2.19964506419445,2.9070099818722,4.60963257563529,2.12854105329372,1.47561853926354,8.43564317058414,1.1484635476121,0.584227427572531,0.215117050910051,0.934996214620784,2.90706116074065,0.00353678467396031,0.478407107139769
"l0",1.82130595256079,0.916127395681673,1.83146351581613,8.46567422297797,5.95957480074796,2.03861602555753,4.07160336873695,2.39449670314119,1.17140184058298,1.43601410559488,7.77836404098178,1.21075938067195,0.324379245434119,0.161805959609322,0.944298376863794,2.69760266867175,0.00377053715489075,0.488372593335387
"k_h",1.01780061451668,0.172599862399768,1.96123255622502,9.05538525663386,9.35700931406764,2.22113643694489,2.69809725761222,5.05151342366213,1.71210292356991,1.51310178963837,7.90237980331287,1.12333546801935,0.583924968949734,0.245935434832222,0.930167040187953,3.17428301624061,0.00304719742386764,0.481071630486536
"k_lm",0.997947460124449,0.157485305297892,1.91704604239643,8.33883124060881,12.4487558358415,2.17025662125603,2.82187701445833,4.12296399807918,2.10157785323659,1.45343992223491,9.49609361125941,1.1611363538527,0.604044433384753,0.185026524827481,0.940011740006716,2.78352311652468,0.00433497765073865,0.47142527625243
"k_m",0.941685832479264,0.181982960040239,1.89425732936072,9.10426852394247,11.1564885025804,2.19365691537957,3.05480595350062,4.65119654891473,2.16063732080567,1.47655170732113,8.29987464530951,1.14940957671483,0.591400316367717,0.215176413886742,0.935071621894772,2.90797479340475,0.00351820949586236,0.477814550879042
"b3",0.844863985291848,0.185848539557634,1.89242960388234,9.29655625266917,11.3528560746905,2.19775090509347,2.96717922067438,4.5261141284914,2.06469501700238,1.47295945865767,8.36394070362815,1.14350345374033,0.582877076658447,0.213906357578435,0.934630423845537,2.91210167091525,0.00346893489792,0.479663511399985
"gamma",0.798066445218765,0.161861127083701,1.88176913277345,10.4706460108308,10.9582506863505,2.20141752573738,2.67949030514339,3.72809465043323,2.01799585801427,1.50220931089,7.76945441951269,1.13875391772576,0.634343060358645,0.223191590127091,0.937312345362383,2.92703148534589,0.00345922205947383,0.478296441358398
"a",0.7929309166645,0.149240162423794,1.89861265719311,9.10033229949458,10.2592488931663,2.20840171184218,2.68030364218894,3.97901386410415,1.81555631673434,1.47013153164455,9.89538349061702,1.20878541436253,0.561575144681282,0.227160804079515,0.936571824775664,2.89741452812063,0.00361005039001885,0.485183429579887
"b4",0.678961122409071,0.170523284723728,1.89592438932989,9.44625308428177,11.457037095238,2.20296790338627,2.84529222702691,4.67905633526808,2.01182552568718,1.480277211524,8.54103677577347,1.15745311849878,0.587414275409327,0.218968710689332,0.934681065529544,2.91598045239764,0.00355514027277323,0.475023807670755
"k_mh",0.643536181836084,0.177441017770133,1.8929816664354,9.19984798139696,11.3954443659712,2.20032618091609,2.90902717666122,4.57622189447725,2.08978630104408,1.47520037964297,8.62414933409308,1.14648895123791,0.576798585548012,0.214650642568375,0.935127796566759,2.90132483183974,0.00355248420566509,0.480007105238322
"b1",0.642177837815136,0.203793726038915,1.89093146063379,10.0914589253936,11.145624150686,2.18721479375129,3.02193236840898,4.22508841938948,2.02065000358255,1.43431162716116,9.24211802200879,1.13235038803684,0.602607888961604,0.231606669044502,0.935054369760802,2.93169347496622,0.00337469949874298,0.483771240180762
"zeta",0.352654501138623,0.178780429040326,1.89816105813489,9.3143063444281,11.3742735927656,2.19940953753621,2.90713208092,4.62305836396984,2.10450367565206,1.47578316282593,8.49242142651409,1.14712814950042,0.584830729551108,0.214744598497328,0.934622514316455,2.90150291557029,0.00353337661536027,0.477603245065727
"b2",0.265267061069495,0.179141703112412,1.89709401128185,9.2789161214865,11.3220033839319,2.19964169575573,2.90706565071925,4.60929060777707,2.12866827154915,1.47562773280027,8.43563015323,1.14846049786415,0.584230988229655,0.215113305766158,0.934995703359467,2.90705803783147,0.00353672731364524,0.478405190284562
"chp_sigma",0.204088325979704,0.179142603997221,1.89710200984542,9.27912351175914,11.3217166244267,2.19964534307075,2.9070091244177,4.60965775419283,2.12853099170513,1.47561664391828,8.43569626368392,1.14846254249135,0.584225091347452,0.215116072487656,0.934996437448013,2.90705288276675,0.00353683516624555,0.478406667970457
"alpha_h",0.0436060207025294,0.179143239097817,1.8970987773886,9.2790306929658,11.3217497936994,2.19964599239416,2.90701169978387,4.60957586837434,2.12852012365824,1.47562027531796,8.43571163240586,1.14846491530686,0.584224949777917,0.215115258062395,0.934996307981283,2.907055836594,0.00353678900677285,0.478406449567178
"alpha_m",-0.00429444966811321,0.179180186331622,1.89709284503969,9.27902692167308,11.3210689876844,2.19962734392519,2.9074061402701,4.60966288528481,2.12859827022127,1.47562684824288,8.43592497941392,1.14846438901793,0.584225278471173,0.215111642235333,0.934995620399146,2.9070571177641,0.00353672052102961,0.478406268626791
"eta",-0.163839802236735,0.180003434828634,1.89656643448052,9.26144212029722,11.2977253960685,2.19972673416898,2.90895776805675,4.60227430333406,2.12839503962644,1.47443089995903,8.44894174221194,1.14674993307456,0.583029865043919,0.215391210834512,0.934954249822841,2.90881421642295,0.00353174590092458,0.478327955885544
"x_star",-0.748210112259021,0.168774549086258,1.89813982766419,9.21080287349307,11.4707447771147,2.20220313232302,2.9050690456121,4.76525502890175,2.14514514757914,1.47797190837816,8.56429571181777,1.14681097759578,0.585658114857077,0.217172943440187,0.934727996517147,2.91062734582917,0.00351381919679545,0.479357891183117
