"variable",".pareto_k","l0","zeta","gamma","a","alpha_m","k_m","k_lm","k_mh","alpha_h","k_h","eta","x_star","b1","b2","b3","b4","chp_sigma"
"l0",1.82130595256079,0.728028580558562,0.111059772549292,2.36960637395526,5.33716681585137,0.16260212646164,1.4102839419689,2.1990056540799,0.951414637435561,0.0888192541475863,1.73713589765711,0.0707740234042906,0.259239668857618,0.0618682765226275,0.0098554592788303,0.226350767026596,0.00081116781817647,0.0193800485125248
"k_h",1.01780061451668,0.0358324156761537,0.0790433530154298,0.691042085484424,2.05211410116854,0.0311561439623933,0.434526056257819,0.692709223530818,0.410453414060106,0.0416995595035883,0.907822609327746,0.0342439779993495,0.036696040050653,0.0309148012324433,0.00537471937260997,0.265071875208385,0.00049090787195721,0.00895810577372052
"k_lm",0.997947460124449,0.0320714390330156,0.0365412305640046,1.01859779940412,1.23630102424572,0.0304639578670458,0.198956734443944,0.546504155205845,0.20664475533983,0.0336987597997154,1.0971058081348,0.0224113592050767,0.0267652039856748,0.029957469488766,0.00493050409261742,0.122638766810816,0.000783903821400242,0.00746501986921564
"k_m",0.941685832479264,0.00385625316033953,0.00443638217505792,0.1738167567456,0.167548737468938,0.00609291921691618,0.142642749909585,0.0805207410141174,0.0349402304717687,0.00195251633845753,0.135510086055399,0.00178464538183439,0.0070855194775009,0.00127505865892823,0.000143297142257386,0.00495631801211552,2.68569767907051e-05,0.0007992645624742
"b3",0.844863985291848,0.00592779514442785,0.00599064017851617,0.055796978884236,0.0732339561258349,0.00216077965050266,0.074614403696507,0.0866113158335354,0.0605893039955263,0.00400079227843336,0.100646612377292,0.00495403065650205,0.00230367155667698,0.0012678734333859,0.000385127670274137,0.0104079220085679,6.95083864998134e-05,0.00125194876197953
"gamma",0.798066445218765,0.0293495598023639,0.0299155124483541,1.44883400943425,0.812024800122102,0.0160864130687557,0.245766839241789,0.91870566392656,0.423495138745856,0.0274864020147738,0.844316519627455,0.0156897370874204,0.0512507639244066,0.013338075259396,0.00240274986016915,0.053744749015038,0.000179541389371759,0.00878076628697665
"a",0.7929309166645,0.0295353004788055,0.0298559586275389,0.761387162244732,1.1413805713798,0.0216544060882174,0.308503397005635,0.666959700720753,0.31334850467328,0.016082998071264,1.58419058816183,0.0593692704626816,0.0462718484095191,0.0172942877890888,0.00215256725667606,0.0753145057394255,0.000236783904331493,0.00730981073069991
"b4",0.678961122409071,0.00924674243026043,0.00914611152790855,0.29846931587643,0.193905709947004,0.00532281166434078,0.0729019284138039,0.135697311397991,0.148279659596015,0.00828665680370026,0.233911904971017,0.0101035876505232,0.00597801101301372,0.00510448885685363,0.000612046596841197,0.0188183421438184,9.13999425549225e-05,0.00349374997606901
"k_mh",0.643536181836084,0.00198464064717883,0.00505357787120459,0.0835802704520838,0.0927411837270208,0.00242642944289096,0.0472271769165034,0.0661123572256411,0.0376693606678691,0.0026081984357649,0.216331678399969,0.00234832961528257,0.0074242002875418,0.00163863634720393,0.000186863843614315,0.00590703409863464,2.51624607787331e-05,0.00152681873364178
"b1",0.642177837815136,0.026073296558136,0.0414661659638332,1.2809585175885,0.659602212523356,0.0169106907601803,0.387388561370125,0.739893120078915,0.303295743642898,0.0479799394723947,0.996985120001454,0.0174459138552604,0.0349747880243749,0.0166243969402325,0.00148366933705986,0.0667648397626475,0.000240522913352596,0.00657766891194239
"zeta",0.352654501138623,0.00253100963437684,0.00325518969587309,0.0651996571395175,0.0767353183467408,0.00195184262485536,0.0543701940990083,0.0381387316492936,0.0336959409009495,0.0028334870241581,0.0697960018209201,0.00254817522400668,0.00237929193842682,0.00126197613979165,0.000389228885864071,0.00889977907791067,2.54034739193121e-05,0.00100485709134762
